fish,date,Site,trap,species,sex,status,TL,SL,head_width,body_width,papilla,total_mass,liver,acc_gland,total_gonad,gsi,hsi,body_condition,Comments (note intersex or fin erosion),substrate
998,April,Rp3,B1,NM,M,NRM,81.15,66.31,NA,NA,NA,5.698,NA,NA,NA,NA,NA,NA,NA,Riprap
999,April,Rp3,B1,NM,F,NRF,66.93,55.22,NA,NA,NA,2.725,NA,NA,NA,NA,NA,NA,NA,Riprap
1001,April,Rp3,B1,NM,M,PM,104.52,88.29,18.61,17.73,5.67,15.123,0.168,0.052,0.225,NA,NA,NA,NA,Riprap
1002,April,Rp3,B1,NM,M,PM,107.28,90.02,18.71,18.49,5.71,16.897,0.471,0.128,0.394,NA,NA,NA,NA,Riprap
1033,April,Rp2,S1,NM,M,PM,110.14,90.66,20.81,17.49,6.12,16.512,0.476,0.152,0.394,NA,NA,NA,NA,Riprap
1034,April,Rp2,S1,NM,M,PM,107.95,89.61,NA,NA,NA,12.085,NA,NA,NA,NA,NA,NA,NA,Riprap
1035,April,Rp2,S1,NM,M,PM,89.66,73.67,NA,NA,NA,7.623,NA,NA,NA,NA,NA,NA,NA,Riprap
1036,April,Rp2,S1,NM,M,NRM,68.48,55.34,NA,NA,NA,2.552,NA,NA,NA,NA,NA,NA,NA,Riprap
1082,April,Rp2,B1,NM,F,NRF,71.05,58.96,NA,NA,NA,3.612,NA,NA,NA,NA,NA,NA,NA,Riprap
1092,April,Rp2,Net,NM,M,NRM,113.08,94.35,NA,NA,NA,19.907,NA,NA,NA,NA,NA,NA,NA,Riprap
1093,April,Rp2,Net,NM,M,NRM,125.95,105.04,NA,NA,NA,26.574,NA,NA,NA,NA,NA,NA,NA,Riprap
1094,April,Rp2,Net,NM,M,PM,130.72,109.79,NA,NA,NA,37.204,NA,NA,NA,NA,NA,NA,NA,Riprap
1095,April,Rp2,Net,NM,M,NRM,104.52,86.78,NA,NA,NA,13.036,NA,NA,NA,NA,NA,NA,NA,Riprap
1096,April,Rp2,Net,NM,M,NRM,95.41,80.84,NA,NA,NA,8.289,NA,NA,NA,NA,NA,NA,NA,Riprap
1101,April,Rp2,Net,NM,M,NRM,98.83,81.19,NA,NA,NA,9.948,NA,NA,NA,NA,NA,NA,NA,Riprap
1102,April,Rp2,Net,NM,M,NRM,71.44,58.16,NA,NA,NA,3.487,NA,NA,NA,NA,NA,NA,NA,Riprap
1103,April,Rp2,Net,NM,M,NRM,66.58,53.62,NA,NA,NA,3.272,NA,NA,NA,NA,NA,NA,NA,Riprap
1104,April,Rp2,Net,NM,F,NRF,75.53,61.54,NA,NA,NA,4.527,NA,NA,NA,NA,NA,NA,NA,Riprap
1173,April,Rp1,B2,NM,M,NRM,111.84,92.87,NA,NA,NA,14.009,NA,NA,NA,NA,NA,NA,NA,Riprap
1174,April,Rp1,Net,NM,M,NRM,82.56,68.06,NA,NA,NA,7.253,NA,NA,NA,NA,NA,NA,NA,Riprap
1175,April,Rp1,Net,NM,M,NRM,91.41,76.04,NA,NA,NA,10.763,NA,NA,NA,NA,NA,NA,NA,Riprap
1176,April,Rp1,Net,NM,M,NRM,87.35,72.53,NA,NA,NA,8.534,NA,NA,NA,NA,NA,NA,NA,Riprap
1177,April,Rp1,Net,NM,M,NRM,86.78,72.61,NA,NA,NA,7.256,NA,NA,NA,NA,NA,NA,NA,Riprap
1178,April,Rp1,Net,NM,M,NRM,79.44,65.55,NA,NA,NA,5.416,NA,NA,NA,NA,NA,NA,NA,Riprap
1179,April,Rp1,Net,NM,M,NRM,76.77,62.27,NA,NA,NA,3.856,NA,NA,NA,NA,NA,NA,NA,Riprap
1180,April,Rp1,Net,NM,M,NRM,77.97,63.99,NA,NA,NA,5.106,NA,NA,NA,NA,NA,NA,NA,Riprap
1181,April,Rp1,Net,NM,M,NRM,75.61,61.73,NA,NA,NA,4.286,NA,NA,NA,NA,NA,NA,NA,Riprap
1182,April,Rp1,Net,NM,M,NRM,71.09,57.75,NA,NA,NA,3.326,NA,NA,NA,NA,NA,NA,NA,Riprap
1183,April,Rp1,Net,NM,M,NRM,68.93,56.31,NA,NA,NA,3.362,NA,NA,NA,NA,NA,NA,NA,Riprap
1184,April,Rp1,Net,NM,M,NRM,70.25,58.65,NA,NA,NA,3.489,NA,NA,NA,NA,NA,NA,NA,Riprap
1185,April,Rp1,Net,NM,M,SM,69.06,55.25,NA,NA,NA,3.734,NA,NA,NA,NA,NA,NA,NA,Riprap
1186,April,Rp1,Net,NM,F,NRF,68.41,56.74,NA,NA,NA,3.136,NA,NA,NA,NA,NA,NA,NA,Riprap
1187,April,Rp1,Net,NM,F,NRF,67.16,54.75,NA,NA,NA,3.319,NA,NA,NA,NA,NA,NA,NA,Riprap
