fish,date,Site,trap,species,sex,status,TL,SL,head_width,body_width,papilla,total_mass,liver,acc_gland,total_gonad,gsi,hsi,body_condition,Comments (note intersex or fin erosion),substrate
1316,April,Rp1,S2,NM,M,NRM,83.22,68.27,NA,NA,NA,5.586,NA,NA,NA,NA,NA,NA,NA,Riprap
1317,April,Rp1,S2,NM,M,NRM,73.44,60.46,NA,NA,NA,3.654,NA,NA,NA,NA,NA,NA,NA,Riprap
1318,April,Rp1,S2,NM,F,NRF,69.68,56.73,NA,NA,NA,2.786,NA,NA,NA,NA,NA,NA,NA,Riprap
1319,April,Rp1,S2,NM,M,NRM,63.39,51.36,NA,NA,NA,2.401,NA,NA,NA,NA,NA,NA,NA,Riprap
1320,April,Rp1,S2,NM,M,NRM,68.71,56.72,NA,NA,NA,3.011,NA,NA,NA,NA,NA,NA,NA,Riprap
1321,April,Rp1,B2,NM,M,NRM,112.17,90.86,NA,NA,NA,15.017,NA,NA,NA,NA,NA,NA,NA,Riprap
1322,April,Rp1,B2,NM,M,NRM,107.71,88.78,NA,NA,NA,16.667,NA,NA,NA,NA,NA,NA,NA,Riprap
1323,April,Rp1,B2,NM,M,NRM,91.95,76.05,NA,NA,NA,8.518,NA,NA,NA,NA,NA,NA,NA,Riprap
1324,April,Rp1,B2,NM,M,NRM,90.81,75.21,NA,NA,NA,7.173,NA,NA,NA,NA,NA,NA,NA,Riprap
1325,April,Rp1,B2,NM,M,NRM,98.12,81.34,NA,NA,NA,8.004,NA,NA,NA,NA,NA,NA,NA,Riprap
1326,April,Rp1,B2,NM,M,NRM,106.03,88.83,NA,NA,NA,11.138,NA,NA,NA,NA,NA,NA,NA,Riprap
1327,April,Rp1,B2,NM,M,NRM,93.68,77.14,NA,NA,NA,7.314,NA,NA,NA,NA,NA,NA,NA,Riprap
1328,April,Rp1,B2,NM,M,NRM,83.84,70.36,NA,NA,NA,5.692,NA,NA,NA,NA,NA,NA,NA,Riprap
1329,April,Rp1,B2,NM,M,NRM,82.88,69.05,NA,NA,NA,5.596,NA,NA,NA,NA,NA,NA,NA,Riprap
1330,April,Rp1,B2,NM,M,NRM,85.19,71.08,NA,NA,NA,6.736,NA,NA,NA,NA,NA,NA,NA,Riprap
1331,April,Rp1,B2,NM,M,NRM,84.97,70.42,NA,NA,NA,6.543,NA,NA,NA,NA,NA,NA,NA,Riprap
1332,April,Rp1,B2,NM,M,NRM,76.2,63.43,NA,NA,NA,5.487,NA,NA,NA,NA,NA,NA,NA,Riprap
1333,April,Rp1,B2,NM,M,NRM,80.69,66.44,NA,NA,NA,5.476,NA,NA,NA,NA,NA,NA,NA,Riprap
1334,April,Rp1,B2,NM,M,NRM,74.7,60.98,NA,NA,NA,4.371,NA,NA,NA,NA,NA,NA,NA,Riprap
1335,April,Rp1,B2,NM,F,NRF,74.28,61.06,NA,NA,NA,3.627,NA,NA,NA,NA,NA,NA,NA,Riprap
1336,April,Rp1,B2,NM,F,NRF,73.78,61.48,NA,NA,NA,4.231,NA,NA,NA,NA,NA,NA,NA,Riprap
1337,April,Rp1,B2,NM,F,NRF,74.34,60.82,NA,NA,NA,4.226,NA,NA,NA,NA,NA,NA,NA,Riprap
1338,April,Rp1,B2,NM,F,NRF,75.59,62.6,NA,NA,NA,4.729,NA,NA,NA,NA,NA,NA,NA,Riprap
1339,April,Rp1,B1,NM,M,NRM,122.34,101.61,NA,NA,NA,25.384,NA,NA,NA,NA,NA,NA,NA,Riprap
1340,April,Rp1,B1,NM,M,NRM,108.54,89.98,NA,NA,NA,16.124,NA,NA,NA,NA,NA,NA,NA,Riprap
1341,April,Rp1,B1,NM,M,NRM,95.16,78.62,NA,NA,NA,12.068,NA,NA,NA,NA,NA,NA,NA,Riprap
1342,April,Rp1,B1,NM,M,NRM,91.04,75.64,NA,NA,NA,12.836,NA,NA,NA,NA,NA,NA,NA,Riprap
1343,April,Rp1,B1,NM,M,NRM,100.39,83.05,NA,NA,NA,11.368,NA,NA,NA,NA,NA,NA,NA,Riprap
1344,April,Rp1,B1,NM,F,NRF,77.29,62.73,NA,NA,NA,5.086,NA,NA,NA,NA,NA,NA,NA,Riprap
1345,April,Rp1,B1,NM,M,NRM,98.92,81.48,NA,NA,NA,11.432,NA,NA,NA,NA,NA,NA,NA,Riprap
1346,April,Rp1,B1,NM,M,NRM,85.16,69.45,NA,NA,NA,6.342,NA,NA,NA,NA,NA,NA,NA,Riprap
1347,April,Rp1,B1,NM,M,NRM,75.03,61.95,NA,NA,NA,4.801,NA,NA,NA,NA,NA,NA,NA,Riprap
1348,April,Rp1,B1,NM,F,NRF,80.89,66.63,NA,NA,NA,4.836,NA,NA,NA,NA,NA,NA,NA,Riprap
1349,April,Rp1,B1,NM,M,NRM,82.86,67.87,NA,NA,NA,6.164,NA,NA,NA,NA,NA,NA,NA,Riprap
1350,April,Rp1,B1,NM,F,NRF,75.53,62.39,NA,NA,NA,4.067,NA,NA,NA,NA,NA,NA,NA,Riprap
1351,April,Rp1,B1,NM,F,NRF,76.57,62.47,NA,NA,NA,4.421,NA,NA,NA,NA,NA,NA,NA,Riprap
1352,April,Rp1,B1,NM,M,NRM,73.54,59.76,NA,NA,NA,3.692,NA,NA,NA,NA,NA,NA,NA,Riprap
1353,April,Rp1,B1,NM,F,NRF,75.14,61.43,NA,NA,NA,4.157,NA,NA,NA,NA,NA,NA,NA,Riprap
1354,April,Rp1,B1,NM,F,NRF,68.82,56.63,NA,NA,NA,3.034,NA,NA,NA,NA,NA,NA,NA,Riprap
1355,April,Rp1,B1,NM,F,NRF,73.24,60.19,NA,NA,NA,3.797,NA,NA,NA,NA,NA,NA,NA,Riprap
1356,April,Rp1,B1,NM,F,NRF,72.89,60.39,NA,NA,NA,3.958,NA,NA,NA,NA,NA,NA,NA,Riprap
1357,April,Rp1,B1,NM,F,NRF,76.93,63.59,NA,NA,NA,4.489,NA,NA,NA,NA,NA,NA,NA,Riprap
1358,April,Rp1,B1,NM,F,NRF,65.38,53.06,NA,NA,NA,2.672,NA,NA,NA,NA,NA,NA,NA,Riprap
1365,April,Rp1,S1,NM,M,NRM,117.28,97.02,NA,NA,NA,19.489,NA,NA,NA,NA,NA,NA,NA,Riprap
1366,April,Rp1,S1,NM,M,NRM,111.9,92.59,NA,NA,NA,18.481,NA,NA,NA,NA,NA,NA,NA,Riprap
1367,April,Rp1,S1,NM,M,NRM,107.39,90.07,NA,NA,NA,17.758,NA,NA,NA,NA,NA,NA,NA,Riprap
1368,April,Rp1,S1,NM,M,NRM,112.05,92.63,NA,NA,NA,14.121,NA,NA,NA,NA,NA,NA,NA,Riprap
1369,April,Rp1,S1,NM,M,NRM,98.62,81.71,NA,NA,NA,10.684,NA,NA,NA,NA,NA,NA,NA,Riprap
1370,April,Rp1,S1,NM,M,NRM,111.44,92.63,NA,NA,NA,16.686,NA,NA,NA,NA,NA,NA,NA,Riprap
1371,April,Rp1,S1,NM,M,NRM,94.37,76.33,NA,NA,NA,9.281,NA,NA,NA,NA,NA,NA,NA,Riprap
1372,April,Rp1,S1,NM,M,NRM,106.23,88.49,NA,NA,NA,15.614,NA,NA,NA,NA,NA,NA,NA,Riprap
1373,April,Rp1,S1,NM,M,NRM,99.04,82.14,NA,NA,NA,10.639,NA,NA,NA,NA,NA,NA,NA,Riprap
1374,April,Rp1,S1,NM,M,NRM,94.29,78.84,NA,NA,NA,9.288,NA,NA,NA,NA,NA,NA,NA,Riprap
1375,April,Rp1,S1,NM,M,NRM,100.33,82.32,NA,NA,NA,11.632,NA,NA,NA,NA,NA,NA,NA,Riprap
1392,April,Rp1,S1,NM,M,NRM,110.88,93.32,NA,NA,NA,15.174,NA,NA,NA,NA,NA,NA,NA,Riprap
1393,April,Rp1,S1,NM,M,NRM,114.13,96.24,NA,NA,NA,20.538,NA,NA,NA,NA,NA,NA,NA,Riprap
1394,April,Rp1,S1,NM,F,NRF,83.03,68.28,NA,NA,NA,5.265,NA,NA,NA,NA,NA,NA,NA,Riprap
1395,April,Rp1,S1,NM,M,NRM,87.73,72.26,NA,NA,NA,6.787,NA,NA,NA,NA,NA,NA,NA,Riprap
1396,April,Rp1,S1,NM,M,NRM,86.26,71.71,NA,NA,NA,5.152,NA,NA,NA,NA,NA,NA,NA,Riprap
1397,April,Rp1,S1,NM,F,NRF,80.44,66.19,NA,NA,NA,5.109,NA,NA,NA,NA,NA,NA,NA,Riprap
1398,April,Rp1,S1,NM,F,NRF,74.19,60.94,NA,NA,NA,4.356,NA,NA,NA,NA,NA,NA,NA,Riprap
1399,April,Rp1,S1,NM,M,NRM,87.98,72.14,NA,NA,NA,6.563,NA,NA,NA,NA,NA,NA,NA,Riprap
1400,April,Rp1,S1,NM,F,NRF,77.89,63.82,NA,NA,NA,5.313,NA,NA,NA,NA,NA,NA,NA,Riprap
1401,April,Rp1,S1,NM,M,NRM,79.65,66.38,NA,NA,NA,5.086,NA,NA,NA,NA,NA,NA,NA,Riprap
1402,April,Rp1,S1,NM,M,NRM,76.8,63.15,NA,NA,NA,3.672,NA,NA,NA,NA,NA,NA,NA,Riprap
1403,April,Rp1,S1,NM,F,NRF,77.88,63.87,NA,NA,NA,4.682,NA,NA,NA,NA,NA,NA,NA,Riprap
1404,April,Rp1,S1,NM,F,NRF,65.54,53.13,NA,NA,NA,2.566,NA,NA,NA,NA,NA,NA,NA,Riprap
1412,April,Rp1,S2,NM,M,NRM,125.81,105.96,NA,NA,NA,28.202,NA,NA,NA,NA,NA,NA,NA,Riprap
1413,April,Rp1,S2,NM,M,NRM,128.39,106.19,NA,NA,NA,28.542,NA,NA,NA,NA,NA,NA,NA,Riprap
1414,April,Rp1,S2,NM,M,NRM,110.91,92.69,NA,NA,NA,17.032,NA,NA,NA,NA,NA,NA,NA,Riprap
1415,April,Rp1,S2,NM,M,NRM,103.16,85.89,NA,NA,NA,13.043,NA,NA,NA,NA,NA,NA,NA,Riprap
1416,April,Rp1,S2,NM,M,NRM,103.81,86.1,NA,NA,NA,11.109,NA,NA,NA,NA,NA,NA,NA,Riprap
1417,April,Rp1,S2,NM,M,NRM,86.72,72.71,NA,NA,NA,7.138,NA,NA,NA,NA,NA,NA,NA,Riprap
1418,April,Rp1,S2,NM,M,NRM,92.03,76.34,NA,NA,NA,10.742,NA,NA,NA,NA,NA,NA,NA,Riprap
1419,April,Rp1,S2,NM,M,NRM,95.68,80.78,NA,NA,NA,10.217,NA,NA,NA,NA,NA,NA,NA,Riprap
1420,April,Rp1,S2,NM,M,NRM,87.98,72.38,NA,NA,NA,8.008,NA,NA,NA,NA,NA,NA,NA,Riprap
1421,April,Rp1,S2,NM,M,NRM,91.15,74.92,NA,NA,NA,7.801,NA,NA,NA,NA,NA,NA,NA,Riprap
1422,April,Rp1,S2,NM,M,NRM,75.91,63.73,NA,NA,NA,4.591,NA,NA,NA,NA,NA,NA,NA,Riprap
1423,April,Rp1,S2,NM,F,NRF,66.68,55.49,NA,NA,NA,2.709,NA,NA,NA,NA,NA,NA,NA,Riprap
1424,April,Rp1,S2,NM,F,NRF,71.75,58.67,NA,NA,NA,3.191,NA,NA,NA,NA,NA,NA,NA,Riprap
1425,April,Rp1,S2,NM,F,NRF,66.37,54.42,NA,NA,NA,2.749,NA,NA,NA,NA,NA,NA,NA,Riprap
1429,April,Rp1,S2,NM,M,NRM,112.78,94.35,NA,NA,NA,21.681,NA,NA,NA,NA,NA,NA,NA,Riprap
1430,April,Rp1,S2,NM,M,NRM,117.75,96.82,NA,NA,NA,25.564,NA,NA,NA,NA,NA,NA,NA,Riprap
1431,April,Rp1,S2,NM,M,NRM,115.26,95.81,NA,NA,NA,20.019,NA,NA,NA,NA,NA,NA,NA,Riprap
1432,April,Rp1,S2,NM,M,NRM,108.59,90.83,NA,NA,NA,16.648,NA,NA,NA,NA,NA,NA,NA,Riprap
1433,April,Rp1,S2,NM,M,NRM,102.06,85.03,NA,NA,NA,11.967,NA,NA,NA,NA,NA,NA,NA,Riprap
1434,April,Rp1,S2,NM,M,NRM,97.56,80.8,NA,NA,NA,10.831,NA,NA,NA,NA,NA,NA,NA,Riprap
1435,April,Rp1,S2,NM,M,NRM,99.76,83.61,NA,NA,NA,12.454,NA,NA,NA,NA,NA,NA,NA,Riprap
1436,April,Rp1,S2,NM,M,NRM,91.89,76.4,NA,NA,NA,8.913,NA,NA,NA,NA,NA,NA,NA,Riprap
1437,April,Rp1,S2,NM,M,NRM,90.49,76.33,NA,NA,NA,7.878,NA,NA,NA,NA,NA,NA,NA,Riprap
1438,April,Rp1,S2,NM,M,NRM,87.53,72.37,NA,NA,NA,6.761,NA,NA,NA,NA,NA,NA,NA,Riprap
1439,April,Rp1,S2,NM,F,NRF,85.52,70.72,NA,NA,NA,7.578,NA,NA,NA,NA,NA,NA,NA,Riprap
1440,April,Rp1,S2,NM,F,NRF,76.38,62.6,NA,NA,NA,4.713,NA,NA,NA,NA,NA,NA,NA,Riprap
1441,April,Rp1,S2,NM,F,NRF,78.76,64.83,NA,NA,NA,6.236,NA,NA,NA,NA,NA,NA,NA,Riprap
1442,April,Rp1,S2,NM,M,NRM,82.41,68.59,NA,NA,NA,5.483,NA,NA,NA,NA,NA,NA,NA,Riprap
1443,April,Rp1,S2,NM,F,NRF,78.35,64.43,NA,NA,NA,4.864,NA,NA,NA,NA,NA,NA,NA,Riprap
1444,April,Rp1,S2,NM,M,NRM,76.08,61.85,NA,NA,NA,4.334,NA,NA,NA,NA,NA,NA,NA,Riprap
1445,April,Rp1,S2,NM,M,NRM,77.09,63.72,NA,NA,NA,4.884,NA,NA,NA,NA,NA,NA,NA,Riprap
1446,April,Rp1,S2,NM,F,NRF,76.19,62.69,NA,NA,NA,4.398,NA,NA,NA,NA,NA,NA,NA,Riprap
1447,April,Rp1,S2,NM,F,NRF,75.29,62.41,NA,NA,NA,4.462,NA,NA,NA,NA,NA,NA,NA,Riprap
1448,April,Rp1,S2,NM,F,NRF,76.17,62.85,NA,NA,NA,4.738,NA,NA,NA,NA,NA,NA,NA,Riprap
1449,April,Rp1,S2,NM,F,NRF,68.83,57.09,NA,NA,NA,2.921,NA,NA,NA,NA,NA,NA,NA,Riprap
1451,April,Rp2,B2,NM,M,PM,137.15,115.17,26.63,24.98,6.62,46.447,1.278,0.232,1.174,NA,NA,NA,NA,Riprap
1452,April,Rp2,B2,NM,M,NRM,93.97,78.43,NA,NA,NA,11.173,NA,NA,NA,NA,NA,NA,NA,Riprap
1453,April,Rp2,B2,NM,M,NRM,97.47,81.09,NA,NA,NA,10.546,NA,NA,NA,NA,NA,NA,NA,Riprap
1454,April,Rp2,B2,NM,M,NRM,93.02,76.07,NA,NA,NA,8.078,NA,NA,NA,NA,NA,NA,NA,Riprap
1455,April,Rp2,B2,NM,M,NRM,86.73,71.16,NA,NA,NA,6.661,NA,NA,NA,NA,NA,NA,NA,Riprap
1456,April,Rp2,B2,NM,M,NRM,82.02,66.87,NA,NA,NA,5.417,NA,NA,NA,NA,NA,NA,NA,Riprap
1457,April,Rp2,B2,NM,M,NRM,85.47,70.35,NA,NA,NA,5.982,NA,NA,NA,NA,NA,NA,NA,Riprap
1458,April,Rp2,B2,NM,M,NRM,73.18,59.94,NA,NA,NA,4.491,NA,NA,NA,NA,NA,NA,NA,Riprap
1459,April,Rp2,B2,NM,M,NRM,71.39,58,NA,NA,NA,3.401,NA,NA,NA,NA,NA,NA,NA,Riprap
1460,April,Rp2,B2,NM,M,NRM,109.88,90.81,NA,NA,NA,16.473,NA,NA,NA,NA,NA,NA,NA,Riprap
1461,April,Rp2,B2,NM,F,NRF,76.19,63.01,NA,NA,NA,4.392,NA,NA,NA,NA,NA,NA,NA,Riprap
1462,April,Rp2,B2,NM,M,NRM,70.43,57.64,NA,NA,NA,3.551,NA,NA,NA,NA,NA,NA,NA,Riprap
1463,April,Rp2,B2,NM,F,NRF,94.77,78.8,NA,NA,NA,7.78,NA,NA,NA,NA,NA,NA,NA,Riprap
1464,April,Rp2,S1,NM,M,NRM,112.53,93.85,NA,NA,NA,15.118,NA,NA,NA,NA,NA,NA,NA,Riprap
1465,April,Rp2,S1,NM,M,NRM,91.24,75.39,NA,NA,NA,7.682,NA,NA,NA,NA,NA,NA,NA,Riprap
1466,April,Rp2,S1,NM,M,NRM,85.77,70.66,NA,NA,NA,6.877,NA,NA,NA,NA,NA,NA,NA,Riprap
1467,April,Rp2,S1,NM,M,NRM,91.52,74.8,NA,NA,NA,8.981,NA,NA,NA,NA,NA,NA,NA,Riprap
1468,April,Rp2,S1,NM,M,NRM,91.07,78.01,13.28,14.57,3.7,9.118,0.137,NA,NA,NA,NA,NA,NA,Riprap
1469,April,Rp2,S1,NM,M,NRM,82.08,67.59,NA,NA,NA,5.657,NA,NA,NA,NA,NA,NA,NA,Riprap
1470,April,Rp2,S1,NM,M,NRM,82.62,67.97,NA,NA,NA,5.063,NA,NA,NA,NA,NA,NA,NA,Riprap
1471,April,Rp2,S1,NM,M,NRM,69.13,56.74,NA,NA,NA,2.812,NA,NA,NA,NA,NA,NA,NA,Riprap
1472,April,Rp2,S1,NM,F,NRF,81.45,66.49,10.83,12.56,2.71,5.852,0.062,NA,0.076,NA,NA,NA,NA,Riprap
1473,April,Rp2,S1,NM,F,NRF,79.67,65.64,NA,NA,NA,5.152,NA,NA,NA,NA,NA,NA,NA,Riprap
1474,April,Rp2,S1,NM,F,NRF,78.76,64.65,NA,NA,NA,5.073,NA,NA,NA,NA,NA,NA,NA,Riprap
1475,April,Rp2,S1,NM,F,NRF,73.45,61.12,NA,NA,NA,3.872,NA,NA,NA,NA,NA,NA,NA,Riprap
1476,April,Rp2,S1,NM,F,NRF,75.59,61.7,NA,NA,NA,4.758,NA,NA,NA,NA,NA,NA,NA,Riprap
1477,April,Rp2,S1,NM,F,NRF,76.36,63.12,9.52,10.93,3.18,4.438,0.057,NA,0.089,NA,NA,NA,NA,Riprap
1478,April,Rp2,S1,NM,F,NRF,72.69,59.3,NA,NA,NA,3.891,NA,NA,NA,NA,NA,NA,NA,Riprap
1481,April,Rp2,S2,NM,M,NRM,118.84,98.7,18.71,19.36,5.72,21.932,0.298,NA,NA,NA,NA,NA,NA,Riprap
1482,April,Rp2,S2,NM,M,NRM,95.15,78.45,NA,NA,NA,11.877,NA,NA,NA,NA,NA,NA,NA,Riprap
1483,April,Rp2,S2,NM,M,NRM,105.07,87.31,NA,NA,NA,11.872,NA,NA,NA,NA,NA,NA,NA,Riprap
1484,April,Rp2,S2,NM,M,NRM,72.71,59.17,NA,NA,NA,4.078,NA,NA,NA,NA,NA,NA,NA,Riprap
1485,April,Rp2,S2,NM,F,NRF,80.99,66.59,NA,NA,NA,6.203,NA,NA,NA,NA,NA,NA,NA,Riprap
1486,April,Rp2,S2,NM,F,NRF,86.83,70.66,NA,NA,NA,6.746,NA,NA,NA,NA,NA,NA,NA,Riprap
1487,April,Rp2,S2,NM,M,SM,78.34,63.78,11.15,11.69,3.44,5.504,0.036,0.012,0.121,NA,NA,NA,NA,Riprap
1488,April,Rp2,S2,NM,M,NRM,70.54,57.36,8.99,9.26,4.98,3.131,0.024,NA,0.045,NA,NA,NA,NA,Riprap
1489,April,Rp2,S2,NM,F,NRF,76.36,62.9,NA,NA,NA,4.656,NA,NA,NA,NA,NA,NA,NA,Riprap
1490,April,Rp2,S2,NM,F,NRF,83.38,68.88,NA,NA,NA,5.642,NA,NA,NA,NA,NA,NA,NA,Riprap
1491,April,Rp2,S2,NM,F,NRF,72.95,59.46,NA,NA,NA,3.902,NA,NA,NA,NA,NA,NA,NA,Riprap
1492,April,Rp2,S2,NM,F,NRF,74.07,61.04,NA,NA,NA,4.328,NA,NA,NA,NA,NA,NA,NA,Riprap
1493,April,Rp2,S2,NM,F,NRF,80.47,66.48,NA,NA,NA,4.982,NA,NA,NA,NA,NA,NA,NA,Riprap
1494,April,Rp2,S2,NM,F,NRF,75.27,61.68,NA,NA,NA,4.184,NA,NA,NA,NA,NA,NA,NA,Riprap
1495,April,Rp2,S2,NM,F,NRF,75.42,62.15,NA,NA,NA,4.372,NA,NA,NA,NA,NA,NA,NA,Riprap
1496,April,Rp2,S2,NM,F,NRF,74.33,60.55,9.91,11.02,2.8,4.321,0.039,NA,0.083,NA,NA,NA,NA,Riprap
1497,April,Rp2,S2,NM,F,NRF,64.59,53.37,NA,NA,NA,2.378,NA,NA,NA,NA,NA,NA,NA,Riprap
1498,April,Rp2,S2,NM,F,NRF,71.29,58.36,NA,NA,NA,3.494,NA,NA,NA,NA,NA,NA,NA,Riprap
1499,April,Rp2,S2,NM,F,NRF,79.31,65.73,NA,NA,NA,4.751,NA,NA,NA,NA,NA,NA,NA,Riprap
1500,April,Rp2,S2,NM,F,NRF,73.17,60.39,NA,NA,NA,4.29,NA,NA,NA,NA,NA,NA,NA,Riprap
1501,April,Rp2,S2,NM,F,NRF,69.86,57.23,NA,NA,NA,3.034,NA,NA,NA,NA,NA,NA,NA,Riprap
1502,April,Rp2,S2,NM,M,NRM,77.94,62.99,NA,NA,NA,3.897,NA,NA,NA,NA,NA,NA,NA,Riprap
1503,April,Rp2,S2,NM,M,NRM,71.59,59.12,NA,NA,NA,3.653,NA,NA,NA,NA,NA,NA,NA,Riprap
1504,April,Rp2,S2,NM,M,NRM,73.89,60.92,NA,NA,NA,3.645,NA,NA,NA,NA,NA,NA,NA,Riprap
1505,April,Rp2,S2,NM,M,NRM,75.05,60.93,NA,NA,NA,3.167,NA,NA,NA,NA,NA,NA,NA,Riprap
1511,April,Rp2,B1,NM,M,PM,103.53,87.18,17.71,18.32,4.6,16.218,0.338,0.023,0.198,NA,NA,NA,NA,Riprap
1512,April,Rp2,B1,NM,M,NRM,100.51,84.07,NA,NA,NA,11.784,NA,NA,NA,NA,NA,NA,NA,Riprap
1513,April,Rp2,B1,NM,M,NRM,96.29,79.48,NA,NA,NA,10.832,NA,NA,NA,NA,NA,NA,NA,Riprap
1514,April,Rp2,B1,NM,M,NRM,102.88,85.41,NA,NA,NA,12.439,NA,NA,NA,NA,NA,NA,NA,Riprap
1515,April,Rp2,B1,NM,M,NRM,96.93,79.62,NA,NA,NA,10.223,NA,NA,NA,NA,NA,NA,NA,Riprap
1516,April,Rp2,B1,NM,M,NRM,85.02,70.28,NA,NA,NA,6.624,NA,NA,NA,NA,NA,NA,NA,Riprap
1517,April,Rp2,B1,NM,M,NRM,86.36,70.78,NA,NA,NA,6.832,NA,NA,NA,NA,NA,NA,NA,Riprap
1518,April,Rp2,B1,NM,M,NRM,81.65,67.06,NA,NA,NA,4.851,NA,NA,NA,NA,NA,NA,NA,Riprap
1519,April,Rp2,B1,NM,F,NRF,86.02,70.26,NA,NA,NA,6.774,NA,NA,NA,NA,NA,NA,NA,Riprap
1520,April,Rp2,B1,NM,F,NRF,78.05,64.07,NA,NA,NA,5.038,NA,NA,NA,NA,NA,NA,NA,Riprap
1521,April,Rp2,B1,NM,F,NRF,71.47,58.69,NA,NA,NA,3.307,NA,NA,NA,NA,NA,NA,NA,Riprap
1522,April,Rp2,B1,NM,F,NRF,75.59,61.53,NA,NA,NA,4.183,NA,NA,NA,NA,NA,NA,NA,Riprap
1523,April,Rp2,B1,NM,F,NRF,70.46,58.01,9.51,10.76,2.69,3.863,0.039,NA,0.046,NA,NA,NA,NA,Riprap
1524,April,Rp2,B1,NM,F,NRF,77.34,63.61,NA,NA,NA,4.825,NA,NA,NA,NA,NA,NA,NA,Riprap
1525,April,Rp2,B1,NM,F,NRF,71.83,59.54,NA,NA,NA,3.881,NA,NA,NA,NA,NA,NA,NA,Riprap
1526,April,Rp2,B1,NM,M,NRM,72.06,58.89,NA,NA,NA,3.098,NA,NA,NA,NA,NA,NA,NA,Riprap
1527,April,Rp2,B1,NM,F,NRF,71.19,58.92,NA,NA,NA,3.412,NA,NA,NA,NA,NA,NA,NA,Riprap
1528,April,Rp2,B1,NM,F,NRF,71.77,58.64,NA,NA,NA,3.281,NA,NA,NA,NA,NA,NA,NA,Riprap
1529,April,Rp2,B1,NM,F,NRF,71.48,58.16,NA,NA,NA,3.596,NA,NA,NA,NA,NA,NA,NA,Riprap
1530,April,Rp2,B1,NM,F,NRF,75.37,61.33,NA,NA,NA,4.887,NA,NA,NA,NA,NA,NA,NA,Riprap
1531,April,Rp2,B1,NM,M,NRM,74.89,61.35,NA,NA,NA,4.296,NA,NA,NA,NA,NA,NA,NA,Riprap
1532,April,Gr2,B3u,NM,M,PM,111.48,93.29,19.11,18.98,5.54,19.836,0.402,0.106,0.456,NA,NA,NA,NA,Gravel
1533,April,Gr2,B3u,NM,M,NRM,125.14,103.54,NA,NA,NA,19.447,NA,NA,NA,NA,NA,NA,NA,Gravel
1534,April,Gr2,B3u,NM,M,NRM,125.44,103.96,NA,NA,NA,21.418,NA,NA,NA,NA,NA,NA,NA,Gravel
1535,April,Gr2,B3u,NM,M,NRM,125.49,105.9,21.26,19.1,4.56,24.169,0.864,0.018,0.112,NA,NA,NA,NA,Gravel
1536,April,Gr2,B3u,NM,M,NRM,119.52,100.07,NA,NA,NA,21.714,NA,NA,NA,NA,NA,NA,NA,Gravel
1537,April,Gr2,B3u,NM,M,NRM,120.04,99.5,NA,NA,NA,22.257,NA,NA,NA,NA,NA,NA,NA,Gravel
1538,April,Gr2,B3u,NM,M,NRM,113.55,94.81,NA,NA,NA,17.081,NA,NA,NA,NA,NA,NA,NA,Gravel
1539,April,Gr2,B3u,NM,M,NRM,113.72,94.85,NA,NA,NA,12.762,NA,NA,NA,NA,NA,NA,NA,Gravel
1540,April,Gr2,B3u,NM,M,NRM,99.54,81.37,NA,NA,NA,9.387,NA,NA,NA,NA,NA,NA,NA,Gravel
1541,April,Gr2,B3u,NM,M,NRM,88.79,72.02,NA,NA,NA,7.144,NA,NA,NA,NA,NA,NA,NA,Gravel
1542,April,Gr2,B3u,NM,M,NRM,85.14,69.24,NA,NA,NA,5.342,NA,NA,NA,NA,NA,NA,NA,Gravel
1543,April,Gr2,B3u,NM,M,NRM,89.07,73.59,NA,NA,NA,7.39,NA,NA,NA,NA,NA,NA,NA,Gravel
1544,April,Gr2,B3u,NM,M,NRM,86.07,70.49,NA,NA,NA,7.546,NA,NA,NA,NA,NA,NA,NA,Gravel
1545,April,Gr2,B3u,NM,M,NRM,92.19,76.17,NA,NA,NA,7.622,NA,NA,NA,NA,NA,NA,NA,Gravel
1546,April,Gr2,B3u,NM,F,NRF,80.05,65.89,NA,NA,NA,5.574,NA,NA,NA,NA,NA,NA,NA,Gravel
1547,April,Gr2,B3u,NM,F,NRF,79.25,65.96,NA,NA,NA,4.624,NA,NA,NA,NA,NA,NA,NA,Gravel
1548,April,Gr2,B3u,NM,F,NRF,80.76,65.88,NA,NA,NA,5.732,NA,NA,NA,NA,NA,NA,NA,Gravel
1549,April,Gr2,B3u,NM,M,NRM,73.04,59.63,NA,NA,NA,3.828,NA,NA,NA,NA,NA,NA,NA,Gravel
1550,April,Gr2,B3u,NM,F,NRF,82.79,67.91,NA,NA,NA,5.738,NA,NA,NA,NA,NA,NA,NA,Gravel
1551,April,Gr2,B3u,NM,F,NRF,73.57,59.71,NA,NA,NA,3.441,NA,NA,NA,NA,NA,NA,NA,Gravel
1552,April,Gr2,B3u,NM,F,NRF,72.01,59.16,NA,NA,NA,3.819,NA,NA,NA,NA,NA,NA,NA,Gravel
1553,April,Gr2,B3u,NM,F,NRF,63.38,51.82,NA,NA,NA,2.459,NA,NA,NA,NA,NA,NA,NA,Gravel
1554,April,Gr2,B3u,NM,F,NRF,70.58,58.12,NA,NA,NA,3.394,NA,NA,NA,NA,NA,NA,NA,Gravel
1555,April,Gr2,B3u,NM,F,NRF,72.84,59.52,NA,NA,NA,3.343,NA,NA,NA,NA,NA,NA,NA,Gravel
